,x,y,Name
556,-65.591644,18.01082,American Gangster
557,-62.977764,17.001394,Man on Fire
558,-65.432335,-2.7310286,Gangs of New York
559,-24.57766,4.113328,Road to Perdition
560,-59.314774,7.998439,A Few Good Men
561,-67.81021,57.614086,Unforgiven
562,-73.93078,-30.698206,Rocky III
563,-40.629227,-0.1287817,Kingdom of Heaven
564,-63.998432,49.54786,Fast & Furious
565,-57.421658,42.48032,E.T. the Extra-Terrestrial
566,1.7931651,-69.314285,Brothers
567,-62.114666,-5.573464,Thor
568,-43.312923,-45.49542,The Deer Hunter
569,62.50799,-56.266243,Pan's Labyrinth
570,-43.365593,-57.176888,Scooby-Doo
571,-14.79067,59.661312,Gone with the Wind
572,1.9290453,41.718174,Jumanji: The Next Level
573,-28.736986,-69.59752,Rio
574,-11.580505,8.105261,Dog Day Afternoon
575,-45.28101,7.849283,Saw
576,-51.89904,-12.625153,Close Encounters of the Third Kind
577,-32.989517,-30.061922,Little Miss Sunshine
578,-45.23389,50.25154,Happy Gilmore
579,-18.804607,-35.38845,Hell or High Water
580,-77.81862,-40.439987,The Mist
581,-40.201336,-32.84334,Bridge to Terabithia
582,-5.9339886,-15.533665,Mystic River
583,-26.020113,1.27841,A Beautiful Day in the Neighborhood
584,-56.31618,-28.341442,Nightcrawler
585,-21.330761,-7.3675694,V for Vendetta
586,-64.4944,-3.1103413,The Aviator
587,-6.7977114,-56.832527,Hercules
588,-48.332066,-54.90503,Sucker Punch
589,-65.44853,27.851393,Mission: Impossible - Rogue Nation
590,-30.245438,-32.67703,A Quiet Place Part II
591,-36.597233,-51.477077,Coyote Ugly
592,-54.070885,34.093956,Kindergarten Cop
593,-50.53722,-30.35211,Rain Man
594,-67.93897,36.14261,Alien: Covenant
595,-52.667988,9.690608,Home Alone
596,-62.02046,38.953136,Venom
597,-52.632076,25.548489,Men in Black
598,-71.41238,-15.875879,Moulin Rouge!
599,-90.002235,-26.242374,Suspiria
600,-59.694828,26.282473,Jack Reacher
601,-70.75206,17.525879,The Longest Yard
602,-2.769137,45.90417,Aladdin
603,-75.67483,-13.841642,Robots
604,-31.57114,-31.53744,"Crazy, Stupid, Love."
605,-8.185219,-94.9345,Solo: A Star Wars Story
606,-44.31182,-49.554592,Midway
607,5.432396,-58.049732,The Invisible Man
608,-62.483368,-15.514099,Inside Man
609,-61.174046,37.045124,Justice League
610,8.317954,24.114202,It Chapter Two
611,-43.908142,12.283102,The Blind Side
612,-26.516352,-24.816696,Wet Hot American Summer
613,-4.6963873,33.681824,The Incredibles
614,-52.36003,-39.1985,Stoker
615,-18.565735,-30.90863,Napoleon Dynamite
616,-24.384,-78.98069,Blast from the Past
617,-92.21699,-12.570785,Alice in Wonderland
618,-68.013855,14.554808,Resident Evil
619,-47.376865,-21.861992,The Untouchables
620,20.86735,82.68678,Salinui chueok
621,-61.786095,-17.699488,Children of Men
622,-99.06868,1.9041442,Harry Potter and the Half-Blood Prince
623,-3.193295,-15.010755,Nocturnal Animals
624,-68.553154,-14.951698,Star Wars: Episode III - Revenge of the Sith
625,-1.5253098,-54.94167,Not Another Teen Movie
626,-48.2102,-2.5042794,As Good as It Gets
627,-13.356987,76.78532,Big Trouble in Little China
628,-63.25546,-47.156635,Before Sunrise
629,-64.9398,-16.28924,The Hurt Locker
630,-78.246765,24.83667,Hannibal
631,-30.897734,-16.169695,Misery
