,x,y,z,Name
223,-12.258491,8.567507,-36.638607,Ghostbusters: Afterlife
224,22.074547,1.046532,-21.52848,The Usual Suspects
225,26.274567,2.8351028,7.431139,Grease
226,-62.985825,-8.759572,31.510897,Super Mario Bros.
227,20.271921,27.02194,44.743523,Magic Mike
228,43.277733,21.719446,14.360035,Drive
229,13.424544,-22.416647,40.401608,Spider-Man: Into the Spider-Verse
230,35.220284,-24.731705,17.342644,The Lost Boys
231,16.254509,-37.360607,3.904614,Her
232,26.52354,-4.497857,-16.250725,The Outsiders
233,17.826424,30.719893,33.928444,There Will Be Blood
234,25.790115,-4.8234415,-55.126987,Marcel the Shell with Shoes On
235,14.940181,-19.163801,40.33042,Spider-Man
236,18.150215,-25.068819,1.7232171,The Irishman
237,13.189561,29.892897,-40.785187,Shang-Chi and the Legend of the Ten Rings
238,-16.645006,-10.524245,32.69196,Lolita
239,4.410202,-17.921366,-6.954431,The Devil Wears Prada
240,-8.189176,-42.507412,-25.24981,Murder on the Orient Express
241,37.595825,-1.9873241,-26.274836,Donnie Darko
242,-7.8721476,-0.7140429,-39.987045,After We Collided
243,49.506306,-1.8656306,3.6794589,Suicide Squad
244,-24.502483,-45.156868,-28.83387,Blazing Saddles
245,17.507124,11.509071,-23.929792,The Exorcist
246,-4.8035326,-45.09736,5.938104,Ticket to Paradise
247,9.898403,-42.06803,-6.51735,Call Me by Your Name
248,-7.963238,-1.0348467,-40.052765,After
249,-8.603497,-36.03873,12.376943,Adventureland
250,33.247143,-4.9120827,-26.542639,Clueless
251,47.557777,-48.118523,8.709046,Indiana Jones and the Last Crusade
252,12.748448,-31.282682,-17.100018,Memento
253,-4.8653836,-50.188995,5.760404,From Dusk Till Dawn
254,8.151909,-26.155197,-7.2750783,How the West Was Won
255,55.1882,8.351442,4.332495,Event Horizon
256,21.875757,-34.142437,-29.145718,Rocky Balboa
257,58.111134,-4.7901826,-15.106421,The Mummy Returns
258,31.420868,2.4609802,-24.906595,The Bad Guys
259,25.956179,-46.720303,-20.324442,Divergent
260,-9.258376,62.750984,-1.7807893,Mighty Morphin Power Rangers: The Movie
261,0.31239423,-32.695107,-7.352432,The Avengers
262,62.296696,-3.7224264,29.451223,Hud
263,4.368462,-46.959084,11.867634,The Last Duel
264,20.063236,-35.058514,-29.282354,Rocky IV
265,-14.155,-4.066886,11.436502,Jojo Rabbit
266,-22.291792,1.3091979,48.86126,Witness for the Prosecution
267,23.567364,6.6212645,-8.056332,Moana
268,24.846684,-9.534679,-30.423315,The Terminator
269,17.466509,-32.9476,-4.7139997,Reservoir Dogs
270,15.7656355,16.727743,1.7000055,Ferris Bueller's Day Off
271,6.737319,15.9709215,40.228466,The Evil Dead
272,8.223764,-2.29944,19.729378,Thirteen
273,23.591276,-50.97611,10.216446,The Lord of the Rings: The Two Towers
274,43.36605,4.308571,36.509083,Harry Potter and the Prisoner of Azkaban
275,-20.374771,-43.61387,-11.293996,Me Before You
276,-14.308239,-26.3874,-22.381687,The Count of Monte Cristo
277,5.773398,-40.74428,30.2905,Matilda
278,15.854044,-20.918343,-17.094732,Ambulance
279,22.691292,29.846895,45.079166,The Lost City
280,-12.357348,51.406826,-17.119417,Cidade de Deus
281,-29.103125,-33.876842,-16.485497,Knock Knock
282,33.16085,-21.711203,7.909578,Wind River
283,-19.606945,5.48229,60.183495,Snatch
284,19.19042,-36.48084,-7.1446586,Scarface
285,45.885906,28.06462,30.962519,The Shape of Water
286,1.9330914,-15.140478,-5.843694,Cast Away
287,1.0257287,-12.774691,-24.058632,Pretty Woman
288,-1.0524136,-11.438272,-50.516014,Godzilla vs. Kong
289,32.92793,-22.425497,46.42476,The Town
290,34.895077,22.860558,20.64927,Ghost Ship
291,25.881964,-14.147064,26.240593,A Quiet Place
292,42.071873,6.1257715,35.167103,Harry Potter and the Chamber of Secrets
293,25.713196,21.749918,-37.328537,Mortal Kombat
294,-34.78053,-29.515017,-1.081377,The Killing of a Sacred Deer
295,-19.674625,-41.496574,-4.049922,The Hateful Eight
296,11.265898,-40.311237,-14.945043,The Equalizer 2
297,-2.8171582,-12.884182,26.883736,The Notebook
298,1.5779469,-4.2342176,1.4243927,Heavenly Creatures
299,69.40516,-12.5500765,1.0674639,Sicario: Day of the Soldado
300,34.602657,-38.942,19.004541,Sing
301,8.746204,-34.81734,-32.717464,Aliens
302,29.719553,15.926875,23.573969,The Perks of Being a Wallflower
303,0.29511693,-51.06475,13.337057,Iron Man
304,49.513992,-16.689543,-6.830515,Independence Day
305,-11.22463,48.688084,29.455854,La vie d'Adèle
306,2.891816,-40.87022,44.11699,Puss in Boots
307,38.36146,-11.441949,-23.095064,300
308,12.811479,15.288335,44.983074,Final Destination
309,25.67865,-17.86003,23.694696,Edge of Tomorrow
310,-19.49679,-18.60972,28.615698,The Lobster
311,-15.24556,-48.135265,35.161774,Zootopia
312,9.708447,-18.037514,35.236027,Tropic Thunder
313,17.62426,1.2430059,49.403084,Dead Poets Society
314,28.86711,-40.60934,-18.936543,Deadpool 2
315,38.772423,-51.34758,13.267436,X-Men: Apocalypse
316,20.507751,-22.693773,19.797567,Les Misérables
317,-12.423479,-48.23246,-5.3206553,Grown Ups
318,-10.282026,28.15523,19.23567,Frozen
319,12.013055,-42.049747,5.4011,The Village
320,-5.0973945,-53.199112,6.7508545,Sin City
321,-26.094952,-20.809113,24.435244,Hook
322,48.758953,-0.52004296,7.7369227,Scott Pilgrim vs. the World
323,4.1156664,-48.030415,36.463886,Batman Begins
324,26.140747,-26.175829,47.50299,American Hustle
325,-16.308138,-25.714333,-11.326098,Jagten
326,-3.3158484,-46.31206,18.470667,Shakespeare in Love
327,46.17495,-32.435585,-30.32098,The Hobbit: An Unexpected Journey
328,19.333458,-23.660618,-33.974792,Ratatouille
329,-26.194237,-46.19777,4.854599,"Il buono, il brutto, il cattivo"
330,16.396254,46.26752,-29.424994,Crazy Rich Asians
331,19.59757,-25.284143,34.748188,Pirates of the Caribbean: Dead Men Tell No Tales
332,11.566581,30.93757,-21.367725,Hauru no ugoku shiro
333,-22.140068,-30.164997,16.06586,The Lighthouse
334,14.599933,2.454669,-41.184105,Power Rangers
335,35.696655,35.86641,4.3353987,The Pianist
336,-10.917957,14.115582,61.642162,The Blue Lagoon
337,52.86082,-2.4113915,48.313606,Ant-Man
338,16.609705,17.663147,38.27956,Swiss Army Man
339,50.921936,-0.2313869,28.54135,Kill Bill: Vol. 1
340,20.243855,-36.678814,10.033606,Cruella
341,-42.753174,-13.946667,28.07692,Fargo
342,-16.698717,-3.6637447,49.2092,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
343,57.858658,-35.950603,-16.783401,This Is 40
344,60.647514,-9.243092,-35.199112,Star Wars: Episode VI - Return of the Jedi
345,9.580484,-46.933475,-10.265904,Mission: Impossible - Fallout
346,-57.661545,-2.6937513,27.780674,True Romance
347,14.374946,-8.277819,7.1293287,Full Metal Jacket
348,2.725624,15.2052,23.473162,Spotlight
349,45.448357,14.87162,-12.904074,Almost Famous
350,-9.1266365,-38.612995,1.2894573,Steel Magnolias
351,5.861637,-8.577959,-41.48728,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
352,-35.217033,33.419827,-36.668003,La vita è bella
353,31.32224,-12.990298,23.621069,Waiting...
354,60.304077,-19.718004,8.037616,The Fast and the Furious
355,-59.00477,-2.2453692,11.209999,Malèna
356,45.27419,-14.444502,-11.478228,Platoon
357,28.627096,-6.919137,37.295803,The Descent
358,17.86664,-9.089782,38.61775,The Truman Show
359,-2.2268195,-39.246655,28.9198,American History X
